Year|Month|DayofMonth|DayOfWeek|DepTime|CRSDepTime|ArrTime|CRSArrTime|UniqueCarrier|FlightNum|TailNum|ActualElapsedTime|CRSElapsedTime|AirTime|ArrDelay|DepDelay|Origin|Dest|Distance|TaxiIn|TaxiOut|Cancelled|CancellationCode|Diverted|CarrierDelay|WeatherDelay|NASDelay|SecurityDelay|LateAircraftDelay
2008|1|18|5|800|807|853|912|NW|1595|N352NB|53|65|33|-19|-7|CMH|DTW|155|11|9|0||0|NA|NA|NA|NA|NA
2008|9|12|5|1902|1903|2041|2035|UA|847|N423UA|99|92|44|6|-1|LGA|IAD|229|10|45|0||0|NA|NA|NA|NA|NA
2008|7|4|5|2049|2050|2239|2227|B6|1289|N236JB|110|97|89|12|-1|BOS|RIC|474|5|16|0||0|NA|NA|NA|NA|NA
2008|9|15|1|1842|1845|2134|2145|9E|5718|84129E|112|120|90|-11|-3|MEM|RDU|634|5|17|0||0|NA|NA|NA|NA|NA
2008|6|28|6|1715|1710|1916|1925|MQ|4812|N840AE|121|135|98|-9|5|LGA|CVG|585|6|17|0||0|NA|NA|NA|NA|NA
2008|5|26|1|1233|1240|1743|1740|AA|466|N234AA|190|180|150|3|-7|BUR|DFW|1231|28|12|0||0|NA|NA|NA|NA|NA
2008|3|15|6|1552|1510|1736|1655|9E|5903|88559E|104|105|75|41|42|MEM|ICT|453|4|25|0||0|0|41|0|0|0
2008|8|31|7|1133|1140|1347|1355|DL|1294|N913DE|74|75|45|-8|-7|PNS|ATL|272|14|15|0||0|NA|NA|NA|NA|NA
2008|3|13|4|1256|1305|1500|1513|US|1228|N443US|124|128|101|-13|-9|FLL|CLT|631|4|19|0||0|NA|NA|NA|NA|NA
2008|1|24|4|1212|1120|1449|1354|XE|2041|N22971|157|154|139|55|52|IAH|MKE|984|4|14|0||0|52|0|3|0|0
2008|10|28|2|1344|1345|1530|1545|WN|559|N664WN|106|120|96|-15|-1|OAK|SEA|671|3|7|0||0|NA|NA|NA|NA|NA
2008|12|6|6|1328|1335|1509|1503|US|139|N826AW|101|88|74|6|-7|SFO|LAS|414|7|20|0||0|NA|NA|NA|NA|NA
2008|9|22|1|1840|1845|2014|2010|OO|3674|N800SK|94|85|60|4|-5|ATL|CVG|373|9|25|0||0|NA|NA|NA|NA|NA
2008|11|4|2|1716|1722|1940|1920|DL|1093|N121DE|144|118|87|20|-6|FLL|ATL|581|32|25|0||0|0|0|20|0|0
2008|11|19|3|1814|1805|2356|2355|WN|642|N423WN|222|230|207|1|9|SAN|MDW|1728|6|9|0||0|NA|NA|NA|NA|NA
2008|10|19|7|2109|1955|2210|2100|WN|1099|N318SW|61|65|44|70|74|LAS|PHX|256|2|15|0||0|14|0|0|0|56
2008|1|26|6|1354|1355|2109|2115|UA|1048|N590UA|315|320|298|-6|-1|LIH|LAX|2615|8|9|0||0|NA|NA|NA|NA|NA
2008|3|24|1|1521|1530|1650|1711|CO|1191|N23661|89|101|55|-21|-9|BOS|EWR|200|9|25|0||0|NA|NA|NA|NA|NA
2008|5|1|4|1925|1925|2030|2050|OH|5622|N784CA|65|85|57|-20|0|CVG|RIC|413|3|5|0||0|NA|NA|NA|NA|NA
2008|4|26|6|1949|1915|2036|2005|WN|372|N416WN|107|110|94|31|34|DAL|ABQ|580|4|9|0||0|0|0|0|0|31
2008|1|18|5|1113|1108|1155|1201|US|435|N157AW|42|53|22|-6|5|PHX|TUS|110|6|14|0||0|NA|NA|NA|NA|NA
2008|6|15|7|612|615|701|710|WN|1798|N441WN|49|55|35|-9|-3|RNO|OAK|180|5|9|0||0|NA|NA|NA|NA|NA
2008|6|22|7|938|945|1151|1152|NW|447|N359NW|133|127|100|-1|-7|MEM|MSP|700|12|21|0||0|NA|NA|NA|NA|NA
2008|1|7|1|2109|2015|2302|2220|EV|4232|N681BR|113|125|94|42|54|ATL|AVP|714|3|16|0||0|42|0|0|0|0
2008|6|22|7|1444|1440|1607|1605|WN|2704|N744SW|83|85|62|2|4|BUR|PHX|369|12|9|0||0|NA|NA|NA|NA|NA
2008|12|30|2|852|855|1628|1625|AA|244|N5ECAA|276|270|256|3|-3|LAX|MCO|2217|6|14|0||0|NA|NA|NA|NA|NA
2008|10|11|6|1758|1610|1902|1708|OO|6148|N960SW|64|58|53|114|108|GJT|DEN|212|6|5|0||0|0|0|6|0|108
2008|2|10|7|2113|2100|2221|2215|WN|1588|N298WN|68|75|51|6|13|OAK|LAX|337|6|11|0||0|NA|NA|NA|NA|NA
2008|9|21|7|2034|2035|2121|2117|EV|4748|N903EV|107|102|77|4|-1|ATL|LFT|503|5|25|0||0|NA|NA|NA|NA|NA
2008|9|25|4|1010|1020|1030|1040|OO|2771|N468CA|80|80|62|-10|-10|CLE|MKE|328|4|14|0||0|NA|NA|NA|NA|NA
2008|6|12|4|1826|1836|1930|1938|YV|2857|N987HA|64|62|41|-8|-10|PHX|FLG|119|9|14|0||0|NA|NA|NA|NA|NA
2008|6|10|2|1804|1800|1926|1931|UA|685|N334UA|82|91|60|-5|4|ORD|MSP|334|6|16|0||0|NA|NA|NA|NA|NA
2008|3|19|3|1847|1857|1855|1900|UA|129|N924UA|68|63|33|-5|-10|GRR|ORD|137|11|24|0||0|NA|NA|NA|NA|NA
2008|6|14|6|602|605|1129|1149|CO|1810|N73291|207|224|192|-20|-3|SMF|IAH|1609|8|7|0||0|NA|NA|NA|NA|NA
2008|2|19|2|1620|1625|1719|1725|US|1825|N457UW|59|60|31|-6|-5|CLT|MYR|156|2|26|0||0|NA|NA|NA|NA|NA
2008|7|19|6|831|825|1015|1020|UA|1549|N440UA|284|295|261|-5|6|IAD|LAS|2066|6|17|0||0|NA|NA|NA|NA|NA
2008|7|9|3|739|740|848|855|WN|116|N465WN|69|75|56|-7|-1|SNA|SJC|342|3|10|0||0|NA|NA|NA|NA|NA
2008|4|19|6|1334|1335|1431|1435|MQ|4624|N705AE|57|60|35|-4|-1|JFK|BOS|187|4|18|0||0|NA|NA|NA|NA|NA
2008|11|12|3|1740|1750|1842|1852|YV|2857|N449YV|62|62|42|-10|-10|PHX|FLG|119|7|13|0||0|NA|NA|NA|NA|NA
2008|1|20|7|2028|2015|2205|2200|AA|1078|N5CTAA|157|165|142|5|13|MIA|STL|1068|3|12|0||0|NA|NA|NA|NA|NA
2008|2|20|3|635|620|833|808|NW|382|N522US|118|108|79|25|15|DTW|BOS|632|9|30|0||0|0|15|10|0|0
2008|9|7|7|1532|1530|1649|1655|US|2038|N753US|77|85|62|-6|2|DCA|BOS|399|1|14|0||0|NA|NA|NA|NA|NA
2008|8|7|4|849|831|1214|1141|UA|23|N560UA|385|370|333|33|18|JFK|LAX|2475|13|39|0||0|0|0|15|0|18
2008|2|23|6|1201|1206|1249|1300|MQ|3280|N236AE|48|54|27|-11|-5|ACT|DFW|89|13|8|0||0|NA|NA|NA|NA|NA
2008|10|14|2|1252|1300|1409|1426|US|2035|N754UW|77|86|62|-17|-8|BOS|DCA|399|5|10|0||0|NA|NA|NA|NA|NA
2008|2|4|1|1322|1325|1636|1622|DL|675|N652DL|194|177|159|14|-3|BOS|ATL|946|9|26|0||0|NA|NA|NA|NA|NA
2008|9|30|2|1827|1835|2110|2136|NW|280|N8986E|103|121|83|-26|-8|MEM|DTW|610|8|12|0||0|NA|NA|NA|NA|NA
2008|6|26|4|1040|1031|1239|1235|EV|4763|N761EV|119|124|97|4|9|ATL|ROC|749|3|19|0||0|NA|NA|NA|NA|NA
2008|5|19|1|1644|1648|1821|1838|FL|61|N997AT|97|110|80|-17|-4|IAD|ATL|533|5|12|0||0|NA|NA|NA|NA|NA
2008|12|1|1|1556|1600|1639|1650|EV|4919|N928EV|43|50|29|-11|-4|CHA|ATL|106|8|6|0||0|NA|NA|NA|NA|NA
2008|3|2|7|1043|1041|1457|1349|OO|6662|N934SW|194|128|102|68|2|DEN|MSN|826|7|85|0||0|68|0|0|0|0
2008|5|19|1|559|600|746|800|WN|29|N428WN|107|120|91|-14|-1|OAK|PHX|646|6|10|0||0|NA|NA|NA|NA|NA
2008|5|5|1|1432|1415|1551|1539|CO|1669|N77295|199|204|178|12|17|IAH|SAN|1303|2|19|0||0|NA|NA|NA|NA|NA
2008|8|28|4|1009|1013|1143|1155|FL|905|N175AT|94|102|79|-12|-4|PHF|ATL|508|8|7|0||0|NA|NA|NA|NA|NA
2008|7|29|2|1841|1715|2203|1959|DL|1655|N916DL|142|104|79|124|86|STL|ATL|483|9|54|0||0|3|0|89|0|32
2008|2|21|4|1447|1450|1659|1723|DL|1704|N908DL|132|153|98|-24|-3|ATL|EWR|745|7|27|0||0|NA|NA|NA|NA|NA
2008|11|21|5|1717|1635|39|14|CO|356|N37419|262|279|238|25|42|LAS|EWR|2227|6|18|0||0|0|0|2|0|23
2008|7|3|4|1103|1020|1306|1230|9E|5737|87339E|183|190|164|36|43|BOS|MEM|1139|3|16|0||0|36|0|0|0|0
2008|1|30|3|1206|1205|1428|1430|WN|1121|N628SW|82|85|65|-2|1|ELP|AUS|528|4|13|0||0|NA|NA|NA|NA|NA
