"nox" "equi" "comp"
"1" 52.356 0.907 12
"2" 12.088 0.761 12
"3" 3.362 1.108 12
"4" 23.913 1.016 12
"5" 0.439 1.189 12
"6" 30.371 1.001 9
"7" 0.26 1.231 9
"8" 1.602 1.123 9
"9" 13.111 1.042 12
"10" 0.223 1.215 12
"11" 49.39 0.93 12
"12" 1 1.152 12
"13" 0.944 1.138 15
"14" 1.694 0.601 18
"15" 0.794 0.696 7.5
"16" 4.02 0.686 12
"17" 5.891 1.072 12
"18" 7.553 1.074 15
"19" 65.353 0.934 15
"20" 31.196 0.808 9
"21" 6.189 1.071 9
"22" 23.028 1.009 7.5
"23" 1.04 1.142 7.5
"24" 0.071 1.229 18
"25" 0.535 1.175 18
"26" 0.052 0.568 15
"27" 47.556 0.977 15
"28" 6.529 0.767 7.5
"29" 22.81 1.006 7.5
"30" 45.385 0.893 9
"31" 0.649 1.152 15
"32" 2.566 0.693 15
"33" 0.159 1.232 15
"34" 20.548 1.036 15
"35" 1.728 1.125 15
"36" 5.08 1.081 9
"37" 40.107 0.868 9
"38" 4.363 0.762 7.5
"39" 1.064 1.144 7.5
"40" 10.036 1.045 7.5
"41" 37.967 0.797 18
"42" 2.686 1.115 18
"43" 7.381 1.07 18
"44" 0.89 1.219 18
"45" 0.186 0.637 9
"46" 10.926 0.733 9
"47" 2.857 0.715 9
"48" 43.577 0.872 9
"49" 5.196 0.765 7.5
"50" 32.953 0.878 7.5
"51" 15.088 0.811 7.5
"52" 5.611 0.676 15
"53" 16.994 1.045 18
"54" 61.724 0.968 18
"55" 60.745 0.846 15
"56" 3.997 0.684 15
"57" 2.726 0.729 7.5
"58" 44.212 0.911 7.5
"59" 10.677 0.808 7.5
"60" 0.432 1.168 7.5
"61" 4.252 0.749 7.5
"62" 48.867 0.892 7.5
"63" 26.04 1.002 7.5
"64" 53.157 0.812 18
"65" 0.303 1.23 18
"66" 49.714 0.804 18
"67" 43.503 0.813 12
"68" 35.611 1.002 12
"69" 1.478 0.696 9
"70" 0.384 1.199 9
"71" 17.193 1.03 9
"72" 0.786 0.602 15
"73" 3.561 0.694 15
"74" 38.889 0.816 15
"75" 9.064 1.037 15
"76" 0.901 1.181 15
"77" 42.436 0.899 7.5
"78" 0.429 1.227 7.5
"79" 0.506 1.18 9
"80" 8.793 0.795 7.5
"81" 51.979 0.99 18
"82" 0.201 1.201 18
"83" 0.177 0.629 7.5
"84" 0.178 0.608 9
"85" 0.312 0.584 12
"86" 0.051 0.562 15
"87" 0.149 0.535 18
"88" 6.859 0.655 18
