Residenza	MotivoIscrizioneEstero	Num
Afghanistan	all'emigrazione	1
Albania	all'emigrazione	19
Albania	per nascita	2
Albania	per residenza all'estero	7
Algeria	all'emigrazione	13
Algeria	acquisto cittadinanza	1
Algeria	per nascita	6
Andorra	all'emigrazione	1
Andorra	per residenza all'estero	1
Angola	all'emigrazione	7
Angola	per nascita	2
Angola	per residenza all'estero	1
Antigua e Barbuda	all'emigrazione	1
Arabia Saudita	all'emigrazione	48
Arabia Saudita	acquisto cittadinanza	2
Arabia Saudita	per nascita	22
Arabia Saudita	per residenza all'estero	14
Argentina	all'emigrazione	747
Argentina	acquisto cittadinanza	105
Argentina	per matrimonio	5
Argentina	per nascita	2859
Argentina	per residenza all'estero	705
Argentina	trasferimento da AIRE	11
Armenia	all'emigrazione	1
Australia	all'emigrazione	729
Australia	acquisto cittadinanza	34
Australia	per matrimonio	4
Australia	per nascita	376
Australia	per residenza all'estero	134
Australia	trasferimento da AIRE	9
Austria	all'emigrazione	383
Austria	acquisto cittadinanza	7
Austria	per matrimonio	2
Austria	per nascita	172
Austria	per residenza all'estero	22
Austria	trasferimento da AIRE	4
Azerbaigian	all'emigrazione	2
Bahamas	all'emigrazione	8
Bahamas	acquisto cittadinanza	1
Bahamas	per nascita	4
Bahrein	all'emigrazione	19
Bahrein	per nascita	3
Bahrein	per residenza all'estero	2
Bangladesh	all'emigrazione	9
Bangladesh	per acquisto cittadinanza	4
Bangladesh	per residenza all'estero	1
Bangladesh	trasferimento da AIRE	1
Barbados	all'emigrazione	3
Barbados	per residenza all'estero	1
Belgio	all'emigrazione	1050
Belgio	per acquisto cittadinanza	16
Belgio	per matrimonio	7
Belgio	per nascita	657
Belgio	per residenza all'estero	133
Belgio	trasferimento da AIRE	19
Belize	all'emigrazione	2
Benin (ex Dahomey)	all'emigrazione	1
Benin (ex Dahomey)	per residenza all'estero	1
Bielorussia	all'emigrazione	1
Bielorussia	per nascita	1
Bielorussia	per residenza all'estero	1
Bolivia	all'emigrazione	36
Bolivia	per acquisto cittadinanza	4
Bolivia	per nascita	39
Bolivia	per residenza all'estero	15
Bosnia-Erzegovina	all'emigrazione	10
Bosnia-Erzegovina	per acquisto cittadinanza	4
Bosnia-Erzegovina	per nascita	3
Botswana	all'emigrazione	2
Botswana	per nascita	5
Botswana	per residenza all'estero	1
Brasile	all'emigrazione	1415
Brasile	per acquisto cittadinanza	95
Brasile	per matrimonio	11
Brasile	per nascita	1508
Brasile	per residenza all'estero	939
Brasile	trasferimento da AIRE	19
Bulgaria	all'emigrazione	53
Bulgaria	per acquisto cittadinanza	5
Bulgaria	per nascita	9
Bulgaria	per residenza all'estero	5
Burundi	all'emigrazione	1
Cambogia	all'emigrazione	7
Cambogia	per nascita	3
Cambogia	per residenza all'estero	1
Camerun	all'emigrazione	10
Camerun	per nascita	3
Camerun	per residenza all'estero	1
Canada	all'emigrazione	509
Canada	per acquisto cittadinanza	149
Canada	per nascita	278
Canada	per residenza all'estero	209
Canada	trasferimento da AIRE	7
Capo Verde	all'emigrazione	10
Capo Verde	per acquisto cittadinanza	1
Capo Verde	per nascita	5
Capo Verde	per residenza all'estero	2
Ceca, Rep.	all'emigrazione	132
Ceca, Rep.	per acquisto cittadinanza	2
Ceca, Rep.	per nascita	46
Ceca, Rep.	per residenza all'estero	9
Centrafricana, Rep.	all'emigrazione	1
Ciad	all'emigrazione	1
Cile	all'emigrazione	139
Cile	per acquisto cittadinanza	22
Cile	per nascita	654
Cile	per residenza all'estero	128
Cile	trasferimento da AIRE	3
Cinese, Rep. Popolare	all'emigrazione	535
Cinese, Rep. Popolare	per acquisto cittadinanza	14
Cinese, Rep. Popolare	per nascita	119
Cinese, Rep. Popolare	per residenza all'estero	26
Cinese, Rep. Popolare	trasferimento da AIRE	10
Cipro	all'emigrazione	32
Cipro	acquisto cittadinanza	2
Cipro	per nascita	14
Cipro	per residenza all'estero	2
Cipro	trasferimento da AIRE	1
Citt� del Vaticano	all'emigrazione	2
Citt� del Vaticano	per residenza all'estero	1
Colombia	all'emigrazione	150
Colombia	per acquisto cittadinanza	25
Colombia	per matrimonio	3
Colombia	per nascita	151
Colombia	per residenza all'estero	57
Colombia	trasferimento da AIRE	5
Congo	all'emigrazione	12
Congo	per nascita	2
Congo Rep. Dem (ex Zaire)	all'emigrazione	16
Congo Rep. Dem (ex Zaire)	per acquisto cittadinanza	1
Congo Rep. Dem (ex Zaire)	per nascita	4
Congo Rep. Dem (ex Zaire)	per residenza all'estero	4
Corea del Nord, Rep. Pop. Dem	all'emigrazione	4
Corea del Nord, Rep. Pop. Dem	per nascita	1
Corea del Sud, Rep.	all'emigrazione	26
Corea del Sud, Rep.	per nascita	7
Costa D'Avorio	all'emigrazione	5
Costa D'Avorio	per nascita	5
Costa D'Avorio	per residenza all'estero	1
Costa Rica	all'emigrazione	101
Costa Rica	per acquisto cittadinanza	7
Costa Rica	per nascita	74
Costa Rica	per residenza all'estero	21
Croazia	all'emigrazione	78
Croazia	per acquisto cittadinanza	18
Croazia	per nascita	43
Croazia	per residenza all'estero	12
Cuba	all'emigrazione	39
Cuba	acquisto cittadinanza	6
Cuba	per nascita	27
Cuba	per residenza all'estero	15
Danimarca	all'emigrazione	187
Danimarca	acquisto cittadinanza	4
Danimarca	per nascita	81
Danimarca	per residenza all'estero	30
Dominicana, Rep.	all'emigrazione	153
Dominicana, Rep.	per acquisto cittadinanza	16
Dominicana, Rep.	per nascita	60
Dominicana, Rep.	per residenza all'estero	29
Dominicana, Rep.	trasferimento da AIRE	1
Ecuador	all'emigrazione	103
Ecuador	per acquisto cittadinanza	20
Ecuador	per nascita	393
Ecuador	per residenza all'estero	44
Ecuador	trasferimento da AIRE	2
Egitto	all'emigrazione	225
Egitto	per acquisto cittadinanza	24
Egitto	per nascita	91
Egitto	per residenza all'estero	70
Egitto	trasferimento da AIRE	1
El Salvador	all'emigrazione	19
El Salvador	per acquisto cittadinanza	1
El Salvador	per nascita	13
El Salvador	per residenza all'estero	4
Emirati Arabi Uniti	all'emigrazione	651
Emirati Arabi Uniti	per acquisto cittadinanza	13
Emirati Arabi Uniti	per nascita	83
Emirati Arabi Uniti	per residenza all'estero	23
Emirati Arabi Uniti	trasferimento da AIRE	2
Eritrea	all'emigrazione	9
Eritrea	per acquisto cittadinanza	1
Eritrea	per nascita	8
Eritrea	per residenza all'estero	2
Estonia	all'emigrazione	20
Estonia	per acquisto cittadinanza	1
Estonia	per nascita	9
Estonia	per residenza all'estero	1
Estonia	trasferimento da AIRE	1
Etiopia	all'emigrazione	33
Etiopia	per acquisto cittadinanza	5
Etiopia	per nascita	14
Etiopia	per residenza all'estero	6
Etiopia	trasferimento da AIRE	3
ex Jugoslavia	per nascita	1
Figi	all'emigrazione	2
Figi	per nascita	1
Filippine	all'emigrazione	44
Filippine	per acquisto cittadinanza	2
Filippine	per nascita	19
Filippine	per residenza all'estero	9
Finlandia	all'emigrazione	92
Finlandia	per nascita	34
Finlandia	per residenza all'estero	7
Finlandia	trasferimento da AIRE	1
Francia	all'emigrazione	4204
Francia	per acquisto cittadinanza	74
Francia	per matrimonio	16
Francia	per nascita	2155
Francia	per residenza all'estero	628
Francia	trasferimento da AIRE	71
Gabon	all'emigrazione	1
Gambia	all'emigrazione	1
Georgia	all'emigrazione	2
Germania	all'emigrazione	3108
Germania	per acquisto cittadinanza	50
Germania	per matrimonio	17
Germania	per nascita	1631
Germania	per residenza all'estero	437
Germania	trasferimento da AIRE	46
Ghana	all'emigrazione	9
Ghana	per nascita	5
Ghana	per residenza all'estero	3
Giamaica	all'emigrazione	7
Giamaica	per nascita	3
Giamaica	per residenza all'estero	1
Giappone	all'emigrazione	171
Giappone	per acquisto cittadinanza	3
Giappone	per nascita	43
Giappone	per residenza all'estero	16
Giappone	trasferimento da AIRE	8
Gibuti	all'emigrazione	2
Giordania	all'emigrazione	15
Giordania	per acquisto cittadinanza	4
Giordania	per nascita	4
Giordania	per residenza all'estero	4
Grecia	all'emigrazione	201
Grecia	per acquisto cittadinanza	12
Grecia	per matrimonio	1
Grecia	per nascita	158
Grecia	per residenza all'estero	55
Grecia	trasferimento da AIRE	5
Grenada	all'emigrazione	3
Grenada	per nascita	2
Guatemala	all'emigrazione	17
Guatemala	per acquisto cittadinanza	3
Guatemala	per nascita	72
Guatemala	per residenza all'estero	11
Guinea	all'emigrazione	1
Guinea Bissau	all'emigrazione	3
Haiti	per residenza all'estero	3
Honduras	all'emigrazione	11
Honduras	per acquisto cittadinanza	2
Honduras	per nascita	16
India	all'emigrazione	74
India	per acquisto cittadinanza	2
India	per nascita	18
India	per residenza all'estero	10
India	trasferimento da AIRE	1
Indonesia	all'emigrazione	75
Indonesia	per acquisto cittadinanza	1
Indonesia	per nascita	26
Indonesia	per residenza all'estero	4
Indonesia	per sentenza	1
Iran	all'emigrazione	13
Iran	per acquisto cittadinanza	8
Iran	per nascita	13
Iran	per residenza all'estero	3
Iraq	all'emigrazione	2
Iraq	per nascita	1
Irlanda	all'emigrazione	347
Irlanda	per acquisto cittadinanza	4
Irlanda	per nascita	91
Irlanda	per residenza all'estero	22
Islanda	all'emigrazione	3
Islanda	per nascita	4
Israele	all'emigrazione	739
Israele	per acquisto cittadinanza	139
Israele	per matrimonio	1
Israele	per nascita	984
Israele	per residenza all'estero	200
Israele	trasferimento da AIRE	7
Jersey, Isole	all'emigrazione	1
Kazakistan	all'emigrazione	10
Kazakistan	per nascita	1
Kenya	all'emigrazione	71
Kenya	per acquisto cittadinanza	4
Kenya	per nascita	28
Kenya	per residenza all'estero	7
Kenya	trasferimento da AIRE	1
Kosovo	all'emigrazione	4
Kosovo	per nascita	1
Kuwait	all'emigrazione	10
Kuwait	per acquisto cittadinanza	2
Kuwait	per nascita	3
Kuwait	per residenza all'estero	3
Laos	all'emigrazione	5
Laos	per acquisto cittadinanza	1
Laos	per nascita	5
Laos	per residenza all'estero	2
Lettonia	all'emigrazione	16
Lettonia	per nascita	2
Libano	all'emigrazione	53
Libano	per acquisto cittadinanza	16
Libano	per matrimonio	1
Libano	per nascita	54
Libano	per residenza all'estero	10
Libano	trasferimento da AIRE	2
Liberia	per residenza all'estero	2
Libia	all'emigrazione	10
Libia	per acquisto cittadinanza	1
Libia	per nascita	7
Libia	per residenza all'estero	2
Liechtenstein	all'emigrazione	3
Liechtenstein	per nascita	1
Lituania	all'emigrazione	7
Lituania	per nascita	1
Lituania	per residenza all'estero	2
Lussemburgo	all'emigrazione	589
Lussemburgo	per acquisto cittadinanza	11
Lussemburgo	per nascita	163
Lussemburgo	per residenza all'estero	26
Lussemburgo	trasferimento da AIRE	10
Macedonia, ex Rep. Jugoslava	all'emigrazione	9
Macedonia, ex Rep. Jugoslava	per acquisto cittadinanza	4
Macedonia, ex Rep. Jugoslava	per nascita	8
Madagascar	all'emigrazione	10
Madagascar	per acquisto cittadinanza	4
Madagascar	per nascita	8
Madagascar	per residenza all'estero	5
Malaysia	all'emigrazione	36
Malaysia	per acquisto cittadinanza	1
Malaysia	per nascita	9
Malaysia	per residenza all'estero	1
Maldive	all'emigrazione	3
Maldive	per nascita	1
Maldive	per residenza all'estero	1
Mali	all'emigrazione	1
Mali	per nascita	5
Mali	per residenza all'estero	2
Malta	all'emigrazione	112
Malta	per acquisto cittadinanza	1
Malta	per nascita	8
Malta	per residenza all'estero	5
Marocco	all'emigrazione	63
Marocco	per acquisto cittadinanza	11
Marocco	per matrimonio	1
Marocco	per nascita	35
Marocco	per residenza all'estero	13
Marocco	trasferimento da AIRE	1
Mauritius	all'emigrazione	22
Mauritius	per nascita	4
Messico	all'emigrazione	293
Messico	per acquisto cittadinanza	38
Messico	per matrimonio	1
Messico	per nascita	343
Messico	per residenza all'estero	82
Messico	trasferimento da AIRE	2
Moldova	all'emigrazione	1
Moldova	per nascita	2
Monaco	all'emigrazione	566
Monaco	per acquisto cittadinanza	11
Monaco	per nascita	122
Monaco	per residenza all'estero	14
Monaco	trasferimento da AIRE	7
Mongolia	all'emigrazione	2
Mongolia	per nascita	1
Montenegro	all'emigrazione	4
Montenegro	per nascita	1
Montenegro	per residenza all'estero	9
Mozambico	all'emigrazione	15
Mozambico	per nascita	6
Mozambico	per residenza all'estero	2
Myanmar (ex Birmania)	all'emigrazione	8
Myanmar (ex Birmania)	per nascita	1
Myanmar (ex Birmania)	trasferimento da AIRE	2
Namibia	all'emigrazione	3
Namibia	per nascita	1
Namibia	trasferimento da AIRE	2
Nicaragua	all'emigrazione	13
Nicaragua	per acquisto cittadinanza	3
Nicaragua	per nascita	24
Nicaragua	per residenza all'estero	8
Nigeria	all'emigrazione	35
Nigeria	per acquisto cittadinanza	2
Nigeria	per nascita	8
Nigeria	per residenza all'estero	4
Nigeria	trasferimento da AIRE	1
Non indicato	all'emigrazione	35
Non indicato	per nascita	6
Non indicato	per residenza all'estero	1
Norvegia	all'emigrazione	104
Norvegia	per acquisto cittadinanza	3
Norvegia	per matrimonio	1
Norvegia	per nascita	43
Norvegia	per residenza all'estero	14
Norvegia	trasferimento da AIRE	4
Nuova Zelanda	all'emigrazione	79
Nuova Zelanda	per acquisto cittadinanza	5
Nuova Zelanda	per nascita	29
Nuova Zelanda	per residenza all'estero	9
Oman	all'emigrazione	7
Oman	per nascita	1
Paesi Bassi	all'emigrazione	805
Paesi Bassi	per acquisto cittadinanza	7
Paesi Bassi	per matrimonio	2
Paesi Bassi	per nascita	338
Paesi Bassi	per residenza all'estero	73
Paesi Bassi	trasferimento da AIRE	11
Pakistan	all'emigrazione	4
Pakistan	per acquisto cittadinanza	2
Pakistan	per nascita	18
Pakistan	per residenza all'estero	1
Panama	all'emigrazione	83
Panama	per acquisto cittadinanza	5
Panama	per nascita	39
Panama	per residenza all'estero	18
Paraguay	all'emigrazione	28
Paraguay	per acquisto cittadinanza	6
Paraguay	per nascita	74
Paraguay	per residenza all'estero	18
Paraguay	trasferimento da AIRE	4
Per�	all'emigrazione	157
Per�	per acquisto cittadinanza	11
Per�	per nascita	222
Per�	per residenza all'estero	94
Per�	trasferimento da AIRE	4
Polonia	all'emigrazione	101
Polonia	per acquisto cittadinanza	2
Polonia	per nascita	26
Polonia	per residenza all'estero	3
Portogallo	all'emigrazione	172
Portogallo	per acquisto cittadinanza	4
Portogallo	per nascita	73
Portogallo	per residenza all'estero	30
Qatar	all'emigrazione	72
Qatar	per acquisto cittadinanza	1
Qatar	per nascita	12
Qatar	per residenza all'estero	5
Qatar	trasferimento da AIRE	1
Regno Unito	all'emigrazione	7191
Regno Unito	per acquisto cittadinanza	111
Regno Unito	per matrimonio	6
Regno Unito	per nascita	2012
Regno Unito	per residenza all'estero	588
Regno Unito	trasferimento da AIRE	61
Romania	all'emigrazione	89
Romania	per acquisto cittadinanza	5
Romania	per matrimonio	1
Romania	per nascita	14
Romania	per residenza all'estero	18
Ruanda	per nascita	4
Ruanda	per residenza all'estero	2
Russa, Federazione	all'emigrazione	112
Russa, Federazione	per acquisto cittadinanza	7
Russa, Federazione	per nascita	35
Russa, Federazione	per residenza all'estero	24
Russa, Federazione	trasferimento da AIRE	1
Saint Vincent e Grenadine	all'emigrazione	4
Saint Vincent e Grenadine	per nascita	1
Samoa	all'emigrazione	1
San Marino	all'emigrazione	41
San Marino	per acquisto cittadinanza	2
San Marino	per nascita	14
San Marino	per residenza all'estero	1
Senegal	all'emigrazione	23
Senegal	per nascita	10
Senegal	per residenza all'estero	1
Serbia	all'emigrazione	34
Serbia	per acquisto cittadinanza	2
Serbia	per nascita	3
Serbia	per residenza all'estero	4
Seychelles	all'emigrazione	10
Seychelles	per acquisto cittadinanza	1
Seychelles	per nascita	3
Sierra Leone	per nascita	1
Singapore	all'emigrazione	264
Singapore	per acquisto cittadinanza	4
Singapore	per matrimonio	1
Singapore	per nascita	67
Singapore	per residenza all'estero	8
Singapore	trasferimento da AIRE	3
Siria	all'emigrazione	4
Siria	per nascita	1
Siria	per residenza all'estero	1
Slovacchia	all'emigrazione	47
Slovacchia	per acquisto cittadinanza	2
Slovacchia	per matrimonio	1
Slovacchia	per nascita	17
Slovacchia	per residenza all'estero	5
Slovacchia	trasferimento da AIRE	1
Slovenia	all'emigrazione	28
Slovenia	per acquisto cittadinanza	2
Slovenia	per nascita	16
Slovenia	per residenza all'estero	4
Somalia	all'emigrazione	3
Spagna	all'emigrazione	2927
Spagna	per acquisto cittadinanza	44
Spagna	per matrimonio	5
Spagna	per nascita	1416
Spagna	per residenza all'estero	486
Spagna	trasferimento da AIRE	19
Sri Lanka (ex Ceylon)	all'emigrazione	15
Sri Lanka (ex Ceylon)	per nascita	3
Sri Lanka (ex Ceylon)	per residenza all'estero	1
Stati Uniti D'America	all'emigrazione	4527
Stati Uniti D'America	per acquisto cittadinanza	201
Stati Uniti D'America	per matrimonio	5
Stati Uniti D'America	per nascita	1760
Stati Uniti D'America	per residenza all'estero	770
Stati Uniti D'America	trasferimento da AIRE	53
